,,,,,,,3451,Secretariat - Economic Services,
11662.0,0.0,0.0,0,0.0,0,,06.00.30,Other Contractual Services,0
64.0,0.0,0.0,0,0.0,0,,06.00.50,Other Charges,0
49627.0,0.0,0.0,0,0.0,0,,,Total:INSAT-4/GSAT Satellites,0
,,,,,,,08,Service Charges for Leasing INSAT/GSAT Transponders,
1022845.0,0.0,0.0,0,0.0,0,,08.00.28,Professional Services,0
1022845.0,0.0,0.0,0,0.0,0,,,Total:Service Charges for Leasing INSAT/GSAT Transponders,0
,,,,,,,11,GSAT-15 Satellite,
150000.0,0.0,0.0,0,0.0,0,,11.00.01,Salaries,0
16.0,0.0,0.0,0,0.0,0,,11.00.03,Overtime Allowance,0
2526.0,0.0,0.0,0,0.0,0,,11.00.11,Domestic Travel Expenses,0
25224.0,0.0,0.0,0,0.0,0,,11.00.12,Foreign Travel Expenses,0
21794.0,0.0,0.0,0,0.0,0,,11.00.13,Office Expenses,0
2081.0,0.0,0.0,0,0.0,0,,11.00.20,Other Administrative Expenses,0
32498.0,0.0,0.0,0,0.0,0,,11.00.21,Supplies & Materials,0
1852.0,0.0,0.0,0,0.0,0,,11.00.26,Advertising & Publicity,0
6071.0,0.0,0.0,0,0.0,0,,11.00.27,Minor Works,0
9844.0,0.0,0.0,0,0.0,0,,11.00.28,Professional Services,0
20479.0,0.0,0.0,0,0.0,0,,11.00.30,Other Contractual Services,0
171.0,0.0,0.0,0,0.0,0,,11.00.50,Other Charges,0
272556.0,0.0,0.0,0,0.0,0,,,Total:GSAT-15 Satellite,0
,,,,,,,12,GSAT-15 Satellite Launch Services,
18113.0,0.0,0.0,0,0.0,0,,12.00.50,Other Charges,0
18113.0,0.0,0.0,0,0.0,0,,,Total:GSAT-15 Satellite Launch Services,0
,,,,,,,13,GSAT-16 Satellite,
16.0,0.0,0.0,0,0.0,0,,13.00.03,Overtime Allowance,0
1907.0,0.0,0.0,0,0.0,0,,13.00.11,Domestic Travel Expenses,0
15124.0,0.0,0.0,0,0.0,0,,13.00.12,Foreign Travel Expenses,0
6696.0,0.0,0.0,0,0.0,0,,13.00.13,Office Expenses,0
1036.0,0.0,0.0,0,0.0,0,,13.00.20,Other Administrative Expenses,0
1880.0,0.0,0.0,0,0.0,0,,13.00.21,Supplies & Materials,0
187.0,0.0,0.0,0,0.0,0,,13.00.26,Advertising & Publicity,0
4756.0,0.0,0.0,0,0.0,0,,13.00.27,Minor Works,0
3719.0,0.0,0.0,0,0.0,0,,13.00.28,Professional Services,0
5878.0,0.0,0.0,0,0.0,0,,13.00.30,Other Contractual Services,0
96.0,0.0,0.0,0,0.0,0,,13.00.50,Other Charges,0
41295.0,0.0,0.0,0,0.0,0,,,Total:GSAT-16 Satellite,0
,,,,,,,14,GSAT-16 Satellite Launch Services,
15466.0,0.0,0.0,0,0.0,0,,14.00.50,Other Charges,0
15466.0,0.0,0.0,0,0.0,0,,,Total:GSAT-16 Satellite Launch Services,0
,,,,,,,15,GSAT-17 Satellite & follow-on missions,
130000.0,0.0,0.0,0,0.0,0,,15.00.01,Salaries,0
394.0,0.0,0.0,0,0.0,0,,15.00.11,Domestic Travel Expenses,0
11573.0,0.0,0.0,0,0.0,0,,15.00.13,Office Expenses,0
1355.0,0.0,0.0,0,0.0,0,,15.00.20,Other Administrative Expenses,0
5002.0,0.0,0.0,0,0.0,0,,15.00.21,Supplies & Materials,0
6367.0,0.0,0.0,0,0.0,0,,15.00.27,Minor Works,0
6927.0,0.0,0.0,0,0.0,0,,15.00.28,Professional Services,0
12.0,0.0,0.0,0,0.0,0,,15.00.50,Other Charges,0
161630.0,0.0,0.0,0,0.0,0,,,Total:GSAT-17 Satellite & follow-on missions,0
,,,,,,,17,GSAT-18 Satellite,
150000.0,0.0,0.0,0,0.0,0,,17.00.01,Salaries,0
370.0,0.0,0.0,0,0.0,0,,17.00.11,Domestic Travel Expenses,0
23154.0,0.0,0.0,0,0.0,0,,17.00.13,Office Expenses,0
2167.0,0.0,0.0,0,0.0,0,,17.00.20,Other Administrative Expenses,0
10041.0,0.0,0.0,0,0.0,0,,17.00.21,Supplies & Materials,0
11416.0,0.0,0.0,0,0.0,0,,17.00.27,Minor Works,0
10495.0,0.0,0.0,0,0.0,0,,17.00.28,Professional Services,0
1111.0,0.0,0.0,0,0.0,0,,17.00.30,Other Contractual Services,0
24.0,0.0,0.0,0,0.0,0,,17.00.50,Other Charges,0
208778.0,0.0,0.0,0,0.0,0,,,Total:GSAT-18 Satellite,0
,,,,,,,19,GSAT-19 Satellite,
8500.0,0.0,0.0,0,0.0,0,,19.00.01,Salaries,0
1586.0,0.0,0.0,0,0.0,0,,19.00.13,Office Expenses,0
877.0,0.0,0.0,0,0.0,0,,19.00.20,Other Administrative Expenses,0
2853.0,0.0,0.0,0,0.0,0,,19.00.27,Minor Works,0
3168.0,0.0,0.0,0,0.0,0,,19.00.28,Professional Services,0
12.0,0.0,0.0,0,0.0,0,,19.00.50,Other Charges,0
16996.0,0.0,0.0,0,0.0,0,,,Total:GSAT-19 Satellite,0
1989192.0,402674.0,0.0,0,0.0,0,,,Total:Operation & Maintenance,0
1989192.0,402674.0,0.0,0,0.0,0,,,Total:Major Head '3252',0
0.0,0.0,0.0,0,0.0,0,,,Charged,0
,,,,,,,3402,Space Research,
,,,,,,,00.001,Direction & Administration,
,,,,,,,01,Indian Space Research Organisation Headquarters (ISRO Hq),
0.0,301982.0,0.0,0,0.0,0,,01.00.01,Salaries,0
0.0,145.0,0.0,0,0.0,0,,01.00.03,Overtime Allowance,0
0.0,59334.0,0.0,0,0.0,0,,01.00.06,Medical Treatment,0
0.0,18938.0,0.0,0,0.0,0,,01.00.11,Domestic Travel Expenses,0
0.0,13333.0,0.0,0,0.0,0,,01.00.12,Foreign Travel Expenses,0
0.0,87386.0,0.0,0,0.0,0,,01.00.13,Office Expenses,0
0.0,3241.0,0.0,0,0.0,0,,01.00.14,"Rent, Rates & Taxes",0
0.0,46115.0,0.0,0,0.0,0,,01.00.20,Other Administrative Expenses,0
0.0,2621.0,0.0,0,0.0,0,,01.00.24,POL,0
0.0,22382.0,0.0,0,0.0,0,,01.00.26,Advertising & Publicity,0
0.0,91040.0,0.0,0,0.0,0,,01.00.27,Minor Works,0
0.0,24997.0,0.0,0,0.0,0,,01.00.28,Professional Services,0
0.0,52737.0,0.0,0,0.0,0,,01.00.30,Other Contractual Services,0
0.0,458.0,0.0,0,0.0,0,,01.00.34,Scholarships & Stipends,0
0.0,0.0,0.0,0,0.0,0,,01.00.50,Other Charges  - Charged,0
0.0,82600.0,0.0,0,0.0,0,,,Voted,0
,,,,,,,01.99,Information Technology,
0.0,9881.0,0.0,0,0.0,0,,01.99.13,Office Expenses,0
0.0,100.0,0.0,0,0.0,0,,01.99.50,Other Charges,0
0.0,817290.0,0.0,0,0.0,0,,,Total:Indian Space Research Organisation Headquarters (ISRO Hq),0
0.0,817290.0,0.0,0,0.0,0,,,Total:Direction & Administration,0
,,,,,,,00.101,Space Technology,
,,,,,,,01,Vikram Sarabhai Space Centre (VSSC),
980500.0,2989869.0,750000.0,3250000,2130000.0,3350000,,01.00.01,Salaries,5904000
0.0,2997.0,0.0,3000,0.0,2000,,01.00.03,Overtime Allowance,3000
446600.0,89000.0,520000.0,40000,475000.0,25000,,01.00.06,Medical Treatment,670000
62500.0,39942.0,80000.0,30000,77500.0,15000,,01.00.11,Domestic Travel Expenses,115000
3625.0,0.0,5000.0,3000,5500.0,2500,,01.00.12,Foreign Travel Expenses,8000
677577.0,48050.0,700000.0,50000,472920.0,30000,,01.00.13,Office Expenses,550000
0.0,0.0,0.0,300,0.0,200,,01.00.16,Publications,300
0.0,61891.0,0.0,86600,0.0,85000,,01.00.20,Other Administrative Expenses,85000
125970.0,72993.0,340000.0,60000,443140.0,30000,,01.00.21,Supplies & Materials,749970
39300.0,29199.0,0.0,72000,0.0,40000,,01.00.24,POL,53000
0.0,5399.0,0.0,5500,0.0,11300,,01.00.26,Advertising & Publicity,8000
316300.0,59999.0,430400.0,10000,352800.0,7200,,01.00.27,Minor Works,430000
451000.0,20000.0,480000.0,20000,543505.0,9000,,01.00.28,Professional Services,720000
320000.0,21598.0,387900.0,69400,422000.0,30000,,01.00.30,Other Contractual Services,545000
0.0,499.0,0.0,500,0.0,500,,01.00.31,Grant-in-aid - General,700
0.0,0.0,0.0,200,0.0,100,,01.00.32,Contributions,200
0.0,42498.0,0.0,48000,0.0,34000,,01.00.34,Scholarships & Stipends,50000
0.0,25.0,0.0,1000,0.0,1000,,01.00.50,Other Charges  - Charged,1000
73000.0,1994.0,56700.0,43300,75300.0,21400,,,Voted,100000
,,,,,,,01.99,Information Technology,
5424.0,5316.0,0.0,15000,0.0,27500,,01.99.13,Office Expenses,15000
0.0,0.0,0.0,5400,0.0,500,,01.99.50,Other Charges,11800
3501796.0,3491269.0,3750000.0,3813200,4997665.0,3722200,,,Total:Vikram Sarabhai Space Centre (VSSC),10019970
,,,,,,,02,ISRO Inertial Systems Unit (IISU),
650.0,0.0,1000.0,0,800.0,0,,02.00.02,Wages,1000
11578.0,0.0,13000.0,0,10600.0,0,,02.00.11,Domestic Travel Expenses,15000
262.0,0.0,1500.0,0,1000.0,0,,02.00.12,Foreign Travel Expenses,1500
46500.0,0.0,40500.0,0,30000.0,0,,02.00.13,Office Expenses,43000
1200.0,0.0,2500.0,0,2500.0,0,,02.00.20,Other Administrative Expenses,2500
129000.0,0.0,117800.0,0,97500.0,0,,02.00.21,Supplies & Materials,100000
100.0,0.0,2500.0,0,500.0,0,,02.00.24,POL,1000
0.0,0.0,500.0,0,3100.0,0,,02.00.26,Advertising & Publicity,1500
11800.0,0.0,27500.0,0,37300.0,0,,02.00.27,Minor Works,40000
50.0,0.0,2500.0,0,500.0,0,,02.00.28,Professional Services,8300
61599.0,0.0,90000.0,0,70000.0,0,,02.00.30,Other Contractual Services,75000
75.0,0.0,200.0,0,200.0,0,,02.00.31,Grant-in-aid - General,200
36933.0,0.0,42500.0,0,7500.0,0,,02.00.50,Other Charges,15000
,,,,,,,02.99,Information Technology,
448.0,0.0,6000.0,0,4000.0,0,,02.99.13,Office Expenses,5000
0.0,0.0,2000.0,0,500.0,0,,02.99.50,Other Charges,1000
300195.0,0.0,350000.0,0,266000.0,0,,,Total:ISRO Inertial Systems Unit (IISU),310000
,,,,,,,04,Polar Satellite Launch Vehicle - Continuation (PSLV-C) Project,
68001.0,0.0,110000.0,0,80000.0,0,,04.00.01,Salaries,90000
6.0,0.0,100.0,0,100.0,0,,04.00.03,Overtime Allowance,100
12994.0,0.0,20000.0,0,20000.0,0,,04.00.11,Domestic Travel Expenses,19900
0.0,0.0,100.0,0,0.0,0,,04.00.12,Foreign Travel Expenses,100
20506.0,0.0,25000.0,0,17500.0,0,,04.00.13,Office Expenses,20000
10000.0,0.0,3200.0,0,12500.0,0,,04.00.20,Other Administrative Expenses,12500
785.0,0.0,100.0,0,10000.0,0,,04.00.21,Supplies & Materials,5000
879.0,0.0,1000.0,0,500.0,0,,04.00.27,Minor Works,1000
2000.0,0.0,500.0,0,1000.0,0,,04.00.30,Other Contractual Services,3000
24819.0,0.0,20000.0,0,8400.0,0,,04.00.50,Other Charges,20000
139990.0,0.0,180000.0,0,150000.0,0,,,Total:Polar Satellite Launch Vehicle - Continuation (PSLV-C) Project,171600
,,,,,,,06,GSLV Mk-III Development,
4500.0,0.0,10000.0,0,8500.0,0,,06.00.11,Domestic Travel Expenses,10000
0.0,0.0,1000.0,0,1000.0,0,,06.00.12,Foreign Travel Expenses,2000
1775.0,0.0,5000.0,0,1500.0,0,,06.00.13,Office Expenses,4000
1137436.0,0.0,962300.0,0,1006800.0,0,,06.00.21,Supplies & Materials,462300
0.0,0.0,100.0,0,100.0,0,,06.00.27,Minor Works,100
0.0,0.0,100.0,0,100.0,0,,06.00.28,Professional Services,100
0.0,0.0,1000.0,0,1000.0,0,,06.00.30,Other Contractual Services,1000
76.0,0.0,500.0,0,1000.0,0,,06.00.50,Other Charges,500
1143787.0,0.0,980000.0,0,1020000.0,0,,,Total:GSLV Mk-III Development,480000
,,,,,,,09,Liquid Propulsion Systems Centre (LPSC),
424955.0,709923.0,452300.0,837700,635000.0,875000,,09.00.01,Salaries,1560000
0.0,4997.0,0.0,5000,0.0,3500,,09.00.02,Wages,6000
0.0,1000.0,0.0,2000,0.0,600,,09.00.03,Overtime Allowance,2000
82087.0,2399.0,91500.0,9000,88000.0,3000,,09.00.06,Medical Treatment,94300
34300.0,500.0,26215.0,9000,27000.0,3000,,09.00.11,Domestic Travel Expenses,36000
688.0,492.0,3500.0,500,3600.0,400,,09.00.12,Foreign Travel Expenses,4000
225817.0,4987.0,255300.0,2100,250200.0,800,,09.00.13,Office Expenses,290200
0.0,300.0,0.0,1000,0.0,500,,09.00.14,"Rent, Rates & Taxes",1200
0.0,13000.0,10000.0,6900,12000.0,2000,,09.00.20,Other Administrative Expenses,18900
129868.0,2497.0,104750.0,10000,145000.0,2000,,09.00.21,Supplies & Materials,153500
20400.0,500.0,21500.0,2100,22500.0,1000,,09.00.24,POL,24500
0.0,5394.0,0.0,8600,0.0,8000,,09.00.26,Advertising & Publicity,10000
98697.0,1300.0,79300.0,5900,97700.0,2000,,09.00.27,Minor Works,91800
124197.0,5000.0,137560.0,2000,158000.0,1000,,09.00.28,Professional Services,173700
69498.0,500.0,99200.0,800,117800.0,500,,09.00.30,Other Contractual Services,150000
0.0,111.0,0.0,200,0.0,200,,09.00.31,Grant-in-aid - General,200
0.0,9997.0,0.0,12000,0.0,12000,,09.00.34,Scholarships & Stipends,12500
0.0,0.0,0.0,1200,0.0,1200,,09.00.50,Other Charges  - Charged,1200
10899.0,500.0,11175.0,1000,12700.0,500,,,Voted,14600
,,,,,,,09.99,Information Technology,
4890.0,100.0,5400.0,100,4900.0,100,,09.99.13,Office Expenses,5600
2092.0,398.0,2300.0,400,2600.0,200,,09.99.50,Other Charges,1500
1228388.0,763895.0,1300000.0,917500,1577000.0,917500,,,Total:Liquid Propulsion Systems Centre (LPSC),2651700
0.0,0.0,0.0,1200,0.0,1200,,,Charged,1200
1228388.0,763895.0,1300000.0,916300,1577000.0,916300,,,Voted,2650500
,,,,,,,10,ISRO Satellite Centre (ISAC),
811000.0,1074190.0,788000.0,1151000,1548176.0,1151824,,10.00.01,Salaries,2916000
0.0,0.0,0.0,100,0.0,100,,10.00.02,Wages,100
0.0,262.0,0.0,300,0.0,200,,10.00.03,Overtime Allowance,400
167994.0,1997.0,161800.0,2200,177800.0,2200,,10.00.06,Medical Treatment,190000
10791.0,2506.0,7000.0,2000,7000.0,2000,,10.00.11,Domestic Travel Expenses,7500
4920.0,331.0,5600.0,400,4700.0,300,,10.00.12,Foreign Travel Expenses,7000
82986.0,2459.0,118000.0,1000,140000.0,1000,,10.00.13,Office Expenses,175000
0.0,170.0,0.0,300,0.0,300,,10.00.14,"Rent, Rates & Taxes",300
31477.0,3017.0,22000.0,3000,17600.0,2400,,10.00.20,Other Administrative Expenses,32500
185822.0,2377.0,208000.0,1000,160000.0,840,,10.00.21,Supplies & Materials,250000
8179.0,872.0,15000.0,1000,12000.0,900,,10.00.24,POL,15000
0.0,3600.0,3000.0,2000,5000.0,2100,,10.00.26,Advertising & Publicity,6000
96403.0,1405.0,134800.0,3200,93139.0,3336,,10.00.27,Minor Works,178000
130590.0,1408.0,123000.0,2000,144400.0,2000,,10.00.28,Professional Services,161800
175813.0,9470.0,179500.0,2500,263500.0,2500,,10.00.30,Other Contractual Services,266000
0.0,317.0,0.0,1000,0.0,1000,,10.00.31,Grant-in-aid - General,1500
0.0,0.0,0.0,100,0.0,100,,10.00.32,Contributions,100
0.0,3431.0,0.0,4000,0.0,4000,,10.00.34,Scholarships & Stipends,6000
0.0,0.0,0.0,1000,0.0,1000,,10.00.50,Other Charges  - Charged,1000
23250.0,550.0,21900.0,1200,17800.0,1200,,,Voted,20000
,,,,,,,10.99,Information Technology,
6403.0,131.0,10100.0,200,26071.0,200,,10.99.13,Office Expenses,40000
3191.0,470.0,2300.0,500,3500.0,500,,10.99.50,Other Charges,5000
1738819.0,1108963.0,1800000.0,1180000,2620686.0,1180000,,,Total:ISRO Satellite Centre (ISAC),4279200
0.0,0.0,0.0,1000,0.0,1000,,,Charged,1000
1738819.0,1108963.0,1800000.0,1179000,2620686.0,1179000,,,Voted,4278200
,,,,,,,11,Laboratory for Electro-Optics Systems (LEOS),
196000.0,0.0,202000.0,0,260000.0,0,,11.00.01,Salaries,281000
0.0,0.0,10.0,0,0.0,0,,11.00.02,Wages,10
32.0,0.0,50.0,0,50.0,0,,11.00.03,Overtime Allowance,50
2397.0,0.0,2800.0,0,2800.0,0,,11.00.06,Medical Treatment,3000
1490.0,0.0,1500.0,0,1500.0,0,,11.00.11,Domestic Travel Expenses,1500
676.0,0.0,1000.0,0,500.0,0,,11.00.12,Foreign Travel Expenses,1000
31806.0,0.0,35800.0,0,38000.0,0,,11.00.13,Office Expenses,40200
0.0,0.0,10.0,0,0.0,0,,11.00.14,"Rent, Rates & Taxes",10
0.0,0.0,100.0,0,100.0,0,,11.00.16,Publications,100
1116.0,0.0,1400.0,0,1200.0,0,,11.00.20,Other Administrative Expenses,2000
60488.0,0.0,63000.0,0,68000.0,0,,11.00.21,Supplies & Materials,101300
837.0,0.0,500.0,0,1150.0,0,,11.00.26,Advertising & Publicity,900
27483.0,0.0,20000.0,0,28800.0,0,,11.00.27,Minor Works,35000
9.0,0.0,600.0,0,1000.0,0,,11.00.28,Professional Services,1000
11339.0,0.0,7500.0,0,14000.0,0,,11.00.30,Other Contractual Services,14000
0.0,0.0,10.0,0,0.0,0,,11.00.31,Grant-in-aid - General,10
0.0,0.0,10.0,0,0.0,0,,11.00.32,Contributions,10
0.0,0.0,10.0,0,0.0,0,,11.00.34,Scholarships & Stipends,10
476.0,0.0,700.0,0,300.0,0,,11.00.50,Other Charges,300
,,,,,,,11.99,Information Technology,
9294.0,0.0,12500.0,0,14550.0,0,,11.99.13,Office Expenses,14000
54.0,0.0,500.0,0,550.0,0,,11.99.50,Other Charges,600
343497.0,0.0,350000.0,0,432500.0,0,,,Total:Laboratory for Electro-Optics Systems (LEOS),496000
,,,,,,,25,Satish Dhawan Space Centre-SHAR (SDSC-SHAR),
89999.0,1289986.0,50000.0,1430000,435000.0,1495000,,25.00.01,Salaries,2460000
0.0,83.0,0.0,100,0.0,100,,25.00.02,Wages,100
0.0,2430.0,0.0,3000,0.0,3000,,25.00.03,Overtime Allowance,5000
261401.0,13796.0,243000.0,50000,240000.0,30000,,25.00.06,Medical Treatment,300000
14647.0,2152.0,16000.0,5500,14700.0,3300,,25.00.11,Domestic Travel Expenses,22000
866.0,531.0,2200.0,800,3900.0,600,,25.00.12,Foreign Travel Expenses,4500
430973.0,22747.0,531600.0,10000,561300.0,7000,,25.00.13,Office Expenses,615200
0.0,4662.0,0.0,6000,0.0,4500,,25.00.14,"Rent, Rates & Taxes",7000
0.0,0.0,200.0,100,1900.0,100,,25.00.16,Publications,2000
0.0,45375.0,0.0,47000,0.0,53000,,25.00.20,Other Administrative Expenses,77500
357343.0,10654.0,283000.0,30000,303274.0,18000,,25.00.21,Supplies & Materials,357500
35847.0,2343.0,32800.0,9200,37500.0,5500,,25.00.24,POL,43000
0.0,6125.0,0.0,12900,0.0,12500,,25.00.26,Advertising & Publicity,15500
245978.0,12438.0,230000.0,33000,250125.0,19000,,25.00.27,Minor Works,311000
400012.0,15982.0,372000.0,33000,435000.0,18000,,25.00.28,Professional Services,500000
157907.0,9578.0,182000.0,40000,237750.0,18850,,25.00.30,Other Contractual Services,320000
0.0,588.0,0.0,500,0.0,500,,25.00.31,Grant-in-aid - General,500
0.0,0.0,0.0,15000,0.0,13000,,25.00.34,Scholarships & Stipends,15000
0.0,2485.0,0.0,500,0.0,500,,25.00.50,Other Charges  - Charged,500
23002.0,3958.0,10500.0,1000,13851.0,750,,,Voted,17200
,,,,,,,25.99,Information Technology,
19524.0,2137.0,22200.0,1400,19000.0,1000,,25.99.13,Office Expenses,25000
8900.0,1858.0,24500.0,1000,19200.0,800,,25.99.50,Other Charges,23000
2046399.0,1449908.0,2000000.0,1730000,2572500.0,1705000,,,Total:Satish Dhawan Space Centre-SHAR (SDSC-SHAR),5121500
0.0,2485.0,0.0,500,0.0,500,,,Charged,500
2046399.0,1447423.0,2000000.0,1729500,2572500.0,1704500,,,Voted,5121000
,,,,,,,26,"ISRO Telemetry, Tracking & Command Network (ISTRAC)",
44682.0,404400.0,17000.0,452700,100084.0,487216,,26.00.01,Salaries,570000
0.0,0.0,0.0,200,0.0,100,,26.00.02,Wages,200
0.0,14.0,0.0,100,0.0,100,,26.00.03,Overtime Allowance,100
20881.0,11421.0,15000.0,15000,22000.0,8000,,26.00.06,Medical Treatment,32500
9908.0,3928.0,6000.0,2000,7432.0,800,,26.00.11,Domestic Travel Expenses,8500
9850.0,4642.0,10000.0,5100,12600.0,2500,,26.00.12,Foreign Travel Expenses,15100
70943.0,65380.0,131500.0,20000,131600.0,10200,,26.00.13,Office Expenses,144700
0.0,0.0,0.0,300,0.0,300,,26.00.14,"Rent, Rates & Taxes",300
0.0,0.0,0.0,700,0.0,700,,26.00.16,Publications,700
0.0,261.0,0.0,700,0.0,700,,26.00.20,Other Administrative Expenses,700
11975.0,8671.0,14300.0,10000,42966.0,4000,,26.00.21,Supplies & Materials,54350
2276.0,455.0,0.0,2800,0.0,2500,,26.00.24,POL,3200
0.0,1206.0,0.0,2000,0.0,1500,,26.00.26,Advertising & Publicity,2200
113984.0,22298.0,145000.0,30000,108200.0,13484,,26.00.27,Minor Works,223200
69004.0,9980.0,110000.0,15000,98100.0,7500,,26.00.28,Professional Services,140000
194507.0,41131.0,253000.0,22000,288750.0,10000,,26.00.30,Other Contractual Services,348500
0.0,173.0,0.0,300,0.0,300,,26.00.31,Grant-in-aid - General,300
0.0,1510.0,0.0,2500,0.0,2500,,26.00.34,Scholarships & Stipends,3000
0.0,0.0,0.0,400,0.0,400,,26.00.50,Other Charges  - Charged,400
36644.0,11326.0,33100.0,5700,43250.0,2900,,,Voted,44000
,,,,,,,26.99,Information Technology,
5053.0,1004.0,11150.0,2500,4000.0,300,,26.99.13,Office Expenses,22300
15510.0,52200.0,53950.0,10000,48150.0,4000,,26.99.50,Other Charges,56050
