#ap2016,anp2016,b2017,r2017,hindi,code,desc,b2018
"","","","","","3451","Secretariat - Economic Services",""
"1656","0","3000","4000","","04.00.30","Other Contractual Services","5000"
"7926","0","20000","9000","","04.00.50","Other Charges","14980"
"141984","0","171600","179600","","","Total: Polar Satellite Launch Vehicle - Continuation (PSLV-C) Project","184000"
"","","","","....-% III,","06","GSLV Mk-III Development",""
"7900","0","10000","10000","4 ","06.00.11","Domestic Travel Expenses","10000"
"1000","0","2000","2000",",4 ","06.00.12","Foreign Travel Expenses","2000"
"2292","0","4000","6000","%4 ","06.00.13","Office Expenses","5000"
"1072211","0","462300","1130300","7","06.00.21","Supplies & Materials","181300"
"95","0","100","100","%%","06.00.27","Minor Works","100"
"0","0","100","100","4","06.00.28","Professional Services","100"
"0","0","1000","1000","!,","06.00.30","Other Contractual Services","1000"
"0","0","0","0","!- *","06.00.50","Other Charges- Charged","0"
"1493","0","500","500","","","Voted","500"
"1084991","0","480000","1150000",": .....-% III,","","Total: GSLV Mk-III Development","200000"
"","","","","","09","Liquid Propulsion Systems Centre (LPSC)",""
"658300","874999","1560000","1800000","","09.00.01","Salaries","1955000"
"0","3600","6000","6000","","09.00.02","Wages","6700"
"0","998","2000","2000","","09.00.03","Overtime Allowance","2200"
"87994","2000","94300","90000","10","09.00.06","Medical Treatment","105000"
"29000","1000","36000","36000","4","09.00.11","Domestic Travel Expenses","40000"
"1000","487","4000","4000",",4","09.00.12","Foreign Travel Expenses","4200"
"252500","2068","290200","328400","%4","09.00.13","Office Expenses","345000"
"0","300","1200","1200","1,","09.00.14","Rent, Rates & Taxes","1200"
"3956","12943","18900","18800","!4","09.00.20","Other Administrative Expenses","19000"
"136792","998","153500","150000","7","09.00.21","Supplies & Materials","150000"
"21500","2099","24500","24500","","09.00.24","POL","25000"
"0","8600","10000","11500",",:","09.00.26","Advertising & Publicity","14500"
"94100","896","91800","91800","%%","09.00.27","Minor Works","90000"
"154000","2000","173700","188800","4","09.00.28","Professional Services","190000"
"121199","800","150000","150000","!,","09.00.30","Other Contractual Services","158000"
"0","87","200","200","!","09.00.31","Grant-in-aid - General","200"
"0","12000","12500","12500",",G","09.00.34","Scholarships & Stipends","13300"
"0","165","1200","2450","!- *","09.00.50","Other Charges- Charged","1500"
"16300","999","14600","13350","","","Voted","14700"
"","","","","I%(...)","09.96","Swachhta Action Plan (SAP)",""
"0","0","0","0","%%","09.96.27","Minor Works","3500"
"","","","","?@","09.99","Information Technology",""
"5400","100","5600","5000","%4","09.99.13","Office Expenses","6000"
"2399","400","1500","5000","!","09.99.50","Other Charges","5000"
"1584440","927539","2651700","2941500",":(....)","","Total: Liquid Propulsion Systems Centre (LPSC)","3150000"
"0","165","1200","2450","*","","Charged","1500"
"1584440","927374","2650500","2939050","","","Voted","3148500"
"","","","","","10","ISRO Satellite Centre (ISAC)",""
"1548176","1151817","2916000","3000000","","10.00.01","Salaries","3100000"
"0","0","100","100","","10.00.02","Wages","100"
"0","86","400","400","","10.00.03","Overtime Allowance","400"
"188230","2399","190000","250000","","10.00.06","Medical Treatment","260000"
"8000","1941","7500","8500","","10.00.11","Domestic Travel Expenses","10000"
"4148","130","7000","27500","","10.00.12","Foreign Travel Expenses","12000"
"123895","1002","175000","285400","","10.00.13","Office Expenses","359900"
"0","179","300","300","","10.00.14","Rent, Rates & Taxes","500"
"23894","3000","32500","61000","","10.00.20","Other Administrative Expenses","49000"
"156822","200","250000","262100","<","10.00.21","Supplies & Materials","313400"
"10500","98","15000","17500","","10.00.24","POL","20000"
"6000","4069","6000","9400",":?","10.00.26","Advertising & Publicity","6400"
"144783","3213","178000","366200","!!","10.00.27","Minor Works","369000"
"174902","2000","161800","210400","9","10.00.28","Professional Services","220500"
"253617","2500","266000","329600",":","10.00.30","Other Contractual Services","362400"
"0","0","1500","1000","","10.00.31","Grant-in-aid - General","12000"
"0","0","100","100","","10.00.32","Contributions","100"
"0","4399","6000","6000",":4","10.00.34","Scholarships & Stipends","6000"
"0","174","1000","400","- ","10.00.50","Other Charges- Charged","1000"
"25700","1107","20000","18600","","","Voted","18800"
"","","0","0","E!(...)","10.96","Swachhta Action Plan (SAP)",""
"0","0","0","0","!!","10.96.27","Minor Works","5000"
"","","","","%(","10.99","Information Technology",""
"25127","200","40000","67700","!9","10.99.13","Office Expenses","70000"
"3187","500","5000","22800","","10.99.50","Other Charges","22000"
"2696981","1179014","4279200","4945000","","","Total:ISRO Satellite Centre (ISAC)","5218500"
"0","174","1000","400","","","Charged","1000"
"2696981","1178840","4278200","4944600","","","Voted","5217500"
"","","","","","11","Laboratory for Electro-Optics Systems (LEOS)",""
"260000","0","281000","290000","","11.00.01","Salaries","300000"
"0","0","10","0","","11.00.02","Wages","10"
"11","0","50","0","-","11.00.03","Overtime Allowance","50"
"2477","0","3000","3000","/0","11.00.06","Medical Treatment","3000"
"1521","0","1500","1500","2 ","11.00.11","Domestic Travel Expenses","1500"
"405","0","1000","500","&2","11.00.12","Foreign Travel Expenses","1000"
"34209","0","40200","41000","2","11.00.13","Office Expenses","45000"
"0","0","10","0","/,","11.00.14","Rent, Rates & Taxes","10"
"0","0","100","100","","11.00.16","Publications","100"
"1427","0","2000","2900","2","11.00.20","Other Administrative Expenses","2600"
"64688","0","101300","80000","5","11.00.21","Supplies & Materials","85000"
"1488","0","900","900","&7","11.00.26","Advertising & Publicity","1000"
"32272","0","35000","47000","","11.00.27","Minor Works","47000"
"87","0","1000","1000","2","11.00.28","Professional Services","1000"
"22073","0","14000","25000","&","11.00.30","Other Contractual Services","27100"
"0","0","10","0","","11.00.31","Grant-in-aid - General","10"
"0","0","10","0","","11.00.32","Contributions","10"
"0","0","10","0","&-","11.00.34","Scholarships & Stipends","10"
"229","0","300","300","","11.00.50","Other Charges","300"
"","","","","#","11.99","Information Technology",""
"6715","0","14000","13900","2","11.99.13","Office Expenses","14500"
"398","0","600","900","","11.99.50","Other Charges","800"
"428000","0","496000","508000","","","Total:Laboratory for Electro-Optics Systems (LEOS)","530000"
"","","","","*+('%) (/)","3402","Space Research",""
"","","","","*+ ?@ (%) (/)","00.101","Space Technology",""
"","","","","*+  -(./...-","25","Satish Dhawan Space Centre - SHAR (SDSC-SHAR)",""
"434995","1495000","2460000","2100000","","25.00.01","Salaries","2250000"
"0","0","100","100","","25.00.02","Wages","100"
"0","2319","5000","2400","*G","25.00.03","Overtime Allowance","2600"
"237500","12454","300000","310000","10","25.00.06","Medical Treatment","330000"
"15816","5449","22000","24000","4 ","25.00.11","Domestic Travel Expenses","30000"
"440","117","4500","4500",",4","25.00.12","Foreign Travel Expenses","4500"
"523483","10113","615200","638200","%4","25.00.13","Office Expenses","660000"
"0","4662","7000","15000","1,","25.00.14","Rent, Rates & Taxes","25000"
"1771","887","2000","2000","","25.00.16","Publications","2000"
"0","60493","77500","78100","!4","25.00.20","Other Administrative Expenses","81000"
"295703","15563","357500","349885","7","25.00.21","Supplies & Materials","417500"
"32526","9155","43000","43300","","25.00.24","POL","45000"
"0","16000","15500","17500",",:","25.00.26","Advertising & Publicity","24000"
"230316","25600","311000","325255","%%","25.00.27","Minor Works","360000"
"518472","14317","500000","482600","4","25.00.28","Professional Services","500000"
"230181","12064","320000","460060","!,","25.00.30","Other Contractual Services","520000"
"0","372","500","500","!","25.00.31","Grant-in-aid - General","500"
"0","13607","15000","15000",",G","25.00.34","Scholarships & Stipends","15000"
"0","0","500","500","!- *","25.00.50","Other Charges- Charged","500"
"9859","3830","17200","10100","","","Voted","11400"
"","","","","I%(...)","25.96","Swachhta Action Plan (SAP)",""
"0","0","0","0","%%","25.96.27","Minor Works","5900"
"","","","","?@","25.99","Information Technology",""
"18500","1272","25000","22100","%4","25.99.13","Office Expenses","25000"
"22706","968","23000","35900","!","25.99.50","Other Charges","40000"
"2572268","1704242","5121500","4937000",":*+  -","","Total:Satish Dhawan Space Centre - SHAR (SDSC-SHAR)","5350000"
"0","0","500","500","*","","Charged","500"
"2572268","1704242","5121000","4936500","","","Voted","5349500"
"","","","",", %","26","ISRO Telemetry, Tracking & Command Network (ISTRAC)",""
"118720","468227","570000","690500","","26.00.01","Salaries","714000"
"0","0","200","200","","26.00.02","Wages","200"
"0","9","100","100","*G","26.00.03","Overtime Allowance","100"
"20102","15115","32500","37500","10","26.00.06","Medical Treatment","40000"
"15875","2010","8500","13500","4 ","26.00.11","Domestic Travel Expenses","13500"
"9994","5100","15100","17500",",4","26.00.12","Foreign Travel Expenses","17500"
"131447","10022","144700","156700","%4","26.00.13","Office Expenses","147500"
"0","0","300","300","1,","26.00.14","Rent, Rates & Taxes","300"
"0","0","700","700","","26.00.16","Publications","700"
"0","569","700","1000","!4","26.00.20","Other Administrative Expenses","600"
"13866","9550","54350","35000","7","26.00.21","Supplies & Materials","50000"
"0","2485","3200","3200","","26.00.24","POL","3400"
"0","1239","2200","1000",",:","26.00.26","Advertising & Publicity","2400"
"144987","12350","223200","220000","%%","26.00.27","Minor Works","300000"
"93410","1250","140000","140000","4","26.00.28","Professional Services","170000"
"285450","22255","348500","400000","!,","26.00.30","Other Contractual Services","440000"
"0","216","300","500","!","26.00.31","Grant-in-aid - General","500"
"0","1833","3000","3000",",G","26.00.34","Scholarships & Stipends","3200"
"0","0","400","400","!- *","26.00.50","Other Charges- Charged","200"
"47273","5725","44000","43900","","","Voted","45200"
"","","","","I(...)","26.96","Swachhta Actuion Plan (SAP)",""
"0","0","0","0","%%","26.96.27","Minor Works","3700"
"","","","","?@","26.99","Information Technology",""
"3225","95","22300","10000","%4","26.99.13","Office Expenses","17000"
"53921","1550","56050","25000","!","26.99.50","Other Charges","30000"
"938270","559600","1670300","1800000",":, %","","Total:ISRO Telemetry, Tracking & Command Network (ISTRAC)","2000000"
"0","0","400","400","*","","Charged","200"
"938270","559600","1669900","1799600","","","Voted","1999800"
"","","","",".... 0 ","33","GSLV Operational (GSLV-O) Project",""
"70000","0","90000","97500","","33.00.01","Salaries","100000"
"15","0","200","200","*G","33.00.03","Overtime Allowance","200"
"14001","0","10000","12000","4 ","33.00.11","Domestic Travel Expenses","9900"
"4556","0","3000","0",",4","33.00.12","Foreign Travel Expenses","100"
"8000","0","6000","8000","%4","33.00.13","Office Expenses","6000"
"1350625","0","1492300","1414500","7","33.00.21","Supplies & Materials","1074300"
"0","0","500","300","4","33.00.28","Professional Services","500"
"1800","0","4000","2500","!,","33.00.30","Other Contractual Services","3000"
"1000","0","7000","5000","!","33.00.50","Other Charges","6000"
"1449997","0","1613000","1540000",": .... 0 ","","Total:GSLV Operational (GSLV-O) Project","1200000"
"","","","","","38","Navigational Satellite System",""
"199200","0","19500","23500","","38.00.01","Salaries","22000"
"11","0","0","0","*G","38.00.03","Overtime Allowance","0"
"9884","0","2200","2300","4 ","38.00.11","Domestic Travel Expenses","1500"
"7776","0","1000","1200",",4","38.00.12","Foreign Travel Expenses","1000"
"30362","0","500","2000","%4","38.00.13","Office Expenses","1400"
"8952","0","100","900","!4","38.00.20","Other Administrative Expenses","500"
"35610","0","20000","20000","7","38.00.21","Supplies & Materials","20000"
"800","0","100","100",",:","38.00.26","Advertising & Publicity","100"
"1119","0","100","100","%%","38.00.27","Minor Works","0"
"2775","0","2500","2500","4","38.00.28","Professional Services","500"
"8556","0","10100","10100","!,","38.00.30","Other Contractual Services","10000"
"386","0","2600","2600","!","38.00.50","Other Charges","1000"
"305431","0","58700","65300",":","","Total:Navigational Satellite System","58000"
"","","","","-N(...)","39","Semi-conductor Laboratory (SCL)",""
"1425400","0","715400","1900000","!","39.00.31","Grant-in-aid - General","1080000"
"100000","0","600000","470000","","39.00.35","Grants for creation of Capital Assets","500000"
"0","714600","784600","830000","","39.00.36","Grant-in-aid - Salaries","920000"
"1525400","714600","2100000","3200000",": -N(...)","","Total:Semi-conductor Laboratory (SCL)","2500000"
"","","","","","43","Manned Mission Initiatives/Human Space Flight Programme",""
"204999","0","10000","155000","7","43.00.21","Supplies & Materials","25000"
"204999","0","10000","155000",":/*+","","Total:Manned Mission Initiatives/Human Space Flight Programme","25000"
"","","","","*+ ,:","44","Indian Institute of Space Science & Technolgy (IIST)",""
"310000","0","398800","410000","!","44.00.31","Grant-in-aid - General","410000"
"170000","0","306200","295000","","44.00.35","Grants for creation of Capital Assets","350000"
"0","285000","295000","295000","","44.00.36","Grant-in-aid - Salaries","340000"
"480000","285000","1000000","1000000",":*+ ,:","","Total:Indian Institute of Space Science & Technolgy (IIST)","1100000"
"","","","",",","45","Semi Cryogenic Engine Development",""
"60000","0","72000","70000","","45.00.01","Salaries","72000"
"3000","0","3000","3000","4 ","45.00.11","Domestic Travel Expenses","3000"
"0","0","12300","4000",",4","45.00.12","Foreign Travel Expenses","10000"
"3500","0","3500","3500","%4","45.00.13","Office Expenses","3500"
"604031","0","527200","628500","7","45.00.21","Supplies & Materials","790500"
"4000","0","4000","4500","%%","45.00.27","Minor Works","3500"
"2995","0","75000","5000","!,","45.00.30","Other Contractual Services","3500"
"3000","0","3000","3000","!","45.00.50","Other Charges","4000"
"680526","0","700000","721500",":,","","Total:Semi Cryogenic Engine Development","890000"
"","","","","O-,(..)","49","Geo-Imaging Satellite (GISAT)",""
"10000","0","8000","2000","","49.00.01","Salaries","50000"
"6","0","100","0","*G","49.00.03","Overtime Allowance","0"
"852","0","1700","475","4 ","49.00.11","Domestic Travel Expenses","1000"
"0","0","500","0",",4","49.00.12","Foreign Travel Expenses","200"
"3936","0","4200","9000","%4","49.00.13","Office Expenses","1000"
"613","0","500","1000","!4","49.00.20","Other Administrative Expenses","0"
"0","0","7500","3275","7","49.00.21","Supplies & Materials","6800"
"412","0","300","200",",:","49.00.26","Advertising & Publicity","0"
"4082","0","2500","4500","%%","49.00.27","Minor Works","0"
"2200","0","5500","6000","4","49.00.28","Professional Services","0"
"6664","0","1100","3500","!,","49.00.30","Other Contractual Services","16000"
"0","0","200","50","!","49.00.50","Other Charges","0"
"28765","0","32100","30000",": O-,(..)","","Total:Geo-Imaging Satellite (GISAT)","75000"
"","","","","*%-2","50","Resourcesat-2A",""
"111","0","200","200","*G","50.00.03","Overtime Allowance","0"
"3886","0","4500","4200","4 ","50.00.11","Domestic Travel Expenses","0"
"1041","0","2500","2500",",4","50.00.12","Foreign Travel Expenses","0"
"9637","0","3000","3500","%4","50.00.13","Office Expenses","0"
"1183","0","1000","1200","!4","50.00.20","Other Administrative Expenses","0"
"0","0","500","0","7","50.00.21","Supplies & Materials","0"
"3672","0","1500","2100","%%","50.00.27","Minor Works","0"
"1665","0","2500","2600","4","50.00.28","Professional Services","0"
"788","0","500","100","!,","50.00.30","Other Contractual Services","0"
"908","0","1000","1000","!","50.00.50","Other Charges","0"
"22891","0","17200","17400",": *%-2","","Total:Resourcesat-2A","0"
"","","","","P-3","51","Cartosat-3",""
"0","0","100","100","*G","51.00.03","Overtime Allowance","100"
"1831","0","4900","3800","4 ","51.00.11","Domestic Travel Expenses","4500"
"0","0","1000","1000",",4","51.00.12","Foreign Travel Expenses","2000"
"5836","0","2900","4000","%4","51.00.13","Office Expenses","8100"
"0","0","900","1500","!4","51.00.20","Other Administrative Expenses","1200"
"0","0","300","0","7","51.00.21","Supplies & Materials","0"
"687","0","0","0",",:","51.00.26","Advertising & Publicity","500"
"3230","0","1500","1600","%%","51.00.27","Minor Works","1700"
"1102","0","500","600","4","51.00.28","Professional Services","700"
"0","0","500","100","!,","51.00.30","Other Contractual Services","500"
"305","0","1500","1500","!","51.00.50","Other Charges","2400"
"12991","0","14100","14200",": P-3","","Total:Cartosat-3","21700"
"","","","","","52","Scattsat",""
"0","0","0","0","*G","52.00.03","Overtime Allowance","0"
"2011","0","2700","440","4 ","52.00.11","Domestic Travel Expenses","0"
"892","0","2000","500",",4","52.00.12","Foreign Travel Expenses","0"
"8611","0","3400","3400","%4","52.00.13","Office Expenses","0"
"0","0","0","0","!4","52.00.20","Other Administrative Expenses","0"
"0","0","5600","3300","7","52.00.21","Supplies & Materials","0"
"577","0","500","300",",:","52.00.26","Advertising & Publicity","0"
"3211","0","800","700","%%","52.00.27","Minor Works","0"
"550","0","500","500","4","52.00.28","Professional Services","0"
"2067","0","700","100","!,","52.00.30","Other Contractual Services","0"
"469","0","2400","2260","!","52.00.50","Other Charges","0"
"18388","0","18600","11500",":","","Total:Scattsat","0"
"","","","","*- 1","53","RISAT-1A",""
"0","0","0","0","*G","53.00.03","Overtime Allowance","0"
"758","0","3500","4200","4 ","53.00.11","Domestic Travel Expenses","5500"
"0","0","2000","2000",",4","53.00.12","Foreign Travel Expenses","4000"
"12082","0","2000","2000","%4","53.00.13","Office Expenses","7700"
"0","0","500","1000","!4","53.00.20","Other Administrative Expenses","2200"
"0","0","100","100","7","53.00.21","Supplies & Materials","5000"
"0","0","800","400",",:","53.00.26","Advertising & Publicity","1000"
"500","0","600","800","%%","53.00.27","Minor Works","1200"
"0","0","400","600","4","53.00.28","Professional Services","700"
"0","0","700","500","!,","53.00.30","Other Contractual Services","1300"
"252","0","1500","400","!","53.00.50","Other Charges","1900"
"13592","0","12100","12000",": *- 1","","Total:RISAT-1A","30500"
"","","","","-33","54","Oceansat-3 & 3A",""
"0","0","100","100","*G","54.00.03","Overtime Allowance","100"
"3467","0","4400","3800","4 ","54.00.11","Domestic Travel Expenses","8200"
"0","0","1000","1000",",4","54.00.12","Foreign Travel Expenses","4000"
"5923","0","4300","4500","%4","54.00.13","Office Expenses","7100"
"300","0","1000","2500","!4","54.00.20","Other Administrative Expenses","4000"
"0","0","200","100","7","54.00.21","Supplies & Materials","5000"
"500","0","2200","3500","%%","54.00.27","Minor Works","8800"
"0","0","500","100","4","54.00.28","Professional Services","500"
"0","0","500","100","!,","54.00.30","Other Contractual Services","3000"
"1000","0","1500","300","!","54.00.50","Other Charges","9800"
"11190","0","15700","16000",": -33","","Total:Oceansat-3 & 3A","50500"
"","","","","7 N(....)","55","ISRO Propulsion Complex (IPRC)",""
"153000","522000","853000","772000","","55.00.01","Salaries","793000"
"0","6000","6000","6000","","55.00.02","Wages","6000"
"0","300","300","300","*G","55.00.03","Overtime Allowance","300"
"28700","6300","40000","45000","10","55.00.06","Medical Treatment","45000"
"8600","1400","10000","12000","4 ","55.00.11","Domestic Travel Expenses","10000"
"1400","100","1000","1500",",4","55.00.12","Foreign Travel Expenses","1500"
"227000","5000","260000","300000","%4","55.00.13","Office Expenses","350000"
"11200","4000","20000","16000","!4","55.00.20","Other Administrative Expenses","20000"
"424600","6200","445000","634000","7","55.00.21","Supplies & Materials","661000"
"15700","2000","19000","19400","","55.00.24","POL","22000"
"0","7000","7000","9000",",:","55.00.26","Advertising & Publicity","10000"
"112600","2900","90000","120000","%%","55.00.27","Minor Works","110600"
"179200","5000","199400","200000","4","55.00.28","Professional Services","205000"
"88900","5000","70000","125000","!,","55.00.30","Other Contractual Services","130000"
"0","300","300","300","!","55.00.31","Grant-in-aid - General","600"
"0","4500","4500","4500",",G","55.00.34","Scholarships & Stipends","5000"
"0","0","500","500","!- *","55.00.50","Other Charges- Charged","500"
"4500","500","8000","5500","","","Voted","5700"
"","","","","I%(...)","55.96","Swachhata Action Plan (SAP)",""
"0","0","0","0","%%","55.96.27","Minor Works","3800"
"","","","","?@","55.99","Information Technology",""
"9500","500","11000","15000","%4","55.99.13","Office Expenses","15000"
"4000","500","5000","5000","!","55.99.50","Other Charges","5000"
"1268900","579500","2050000","2291000",":7 N(....)","","Total:ISRO Propulsion Complex (IPRC)","2400000"
"0","0","500","500","*","","Charged","500"
"1268900","579500","2049500","2290500","","","Voted","2399500"
"","","","",",R,*","56","Trisonic Wind Tunnel Facility Project",""
"0","0","350","10","4 ","56.00.11","Domestic Travel Expenses","350"
"0","0","325","10","%4","56.00.13","Office Expenses","325"
"0","0","50","10","!4","56.00.20","Other Administrative Expenses","50"
"0","0","100","30","7","56.00.21","Supplies & Materials","100"
"0","0","50","10","%%","56.00.27","Minor Works","50"
"0","0","50","10","4","56.00.28","Professional Services","50"
"0","0","25","10","!,","56.00.30","Other Contractual Services","25"
"0","0","50","10","!","56.00.50","Other Charges","50"
"0","0","1000","100",": ,R,*","","Total:Trisonic Wind Tunnel Facility Project","1000"
"","","","","P-2","57","Cartosat-2E",""
"11","0","100","100","*G","57.00.03","Overtime Allowance","100"
"3578","0","4400","3400","4 ","57.00.11","Domestic Travel Expenses","3200"
"0","0","1000","1000",",4","57.00.12","Foreign Travel Expenses","1000"
"6863","0","4500","4500","%4","57.00.13","Office Expenses","2600"
"955","0","1000","1400","!4","57.00.20","Other Administrative Expenses","1000"
"0","0","10800","5000","7","57.00.21","Supplies & Materials","0"
"1737","0","2200","3000","%%","57.00.27","Minor Works","1000"
"550","0","500","500","4","57.00.28","Professional Services","500"
"0","0","500","2200","!,","57.00.30","Other Contractual Services","500"
"1000","0","1500","1100","!","57.00.50","Other Charges","1700"
"14694","0","26500","22200",": P-2","","Total:Cartosat-2E","11600"
"","","","","*-3","58","Risat-3",""
"0","0","10","0","*G","58.00.03","Overtime Allowance","10"
"0","0","20","0","4 ","58.00.11","Domestic Travel Expenses","50"
"0","0","20","0",",4","58.00.12","Foreign Travel Expenses","10"
"0","0","20","0","%4","58.00.13","Office Expenses","50"
"0","0","5","0","!4","58.00.20","Other Administrative Expenses","10"
"0","0","5","0","7","58.00.21","Supplies & Materials","20"
"0","0","5","0","%%","58.00.27","Minor Works","20"
"0","0","5","0","4","58.00.28","Professional Services","10"
"0","0","5","0","!,","58.00.30","Other Contractual Services","10"
"0","0","5","0","!","58.00.50","Other Charges","10"
"0","0","100","0",": *-3","","Total:Risat-3","200"
"","","","","*+A,","60","Development of Space Materials & Components",""
"121523","0","160000","140000","7","60.00.21","Supplies & Materials","200000"
"121523","0","160000","140000",": *+A,","","Total:Development of Space Materials & Components","200000"
"","","","","T","61","NASA ISRO Synthetic Aperture Radar Mission (NISAR)",""
"1980","0","5200","4900","4 ","61.00.11","Domestic Travel Expenses","6300"
"3808","0","5000","5000",",4","61.00.12","Foreign Travel Expenses","6000"
"5680","0","1600","3500","%4","61.00.13","Office Expenses","4300"
"969","0","500","700","!4","61.00.20","Other Administrative Expenses","300"
"4","0","500","600","7","61.00.21","Supplies & Materials","0"
"507","0","500","500",",:","61.00.26","Advertising & Publicity","700"
"2547","0","1000","1200","%%","61.00.27","Minor Works","1500"
"1100","0","500","600","4","61.00.28","Professional Services","500"
"0","0","700","500","!,","61.00.30","Other Contractual Services","500"
